configuration,problem,model,data_file,time,run,objective
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.906,MaxEff,-10432
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.96,MaxEff,-10519
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.012,MaxEff,-10727
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.069,MaxEff,-11092
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.126,MaxEff,-11179
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.362,MaxEff,-11387
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.371,MaxEff,-11965
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.392,MaxEff,-12057
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.4,MaxEff,-12139
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.44,MaxEff,-12717
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.501,MaxEff,-12741
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.565,MaxEff,-12833
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.635,MaxEff,-12839
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.925,MaxEff,-12915
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.934,MaxEff,-13493
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.95,MaxEff,-13643
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,2.963,MaxEff,-13735
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,3.017,MaxEff,-13817
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,3.106,MaxEff,-14395
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,3.358,MaxEff,-14467
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,3.45,MaxEff,-14473
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,3.654,MaxEff,-14549
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,11.585,MaxEff,-15127
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.223,MaxEff,-2774
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.241,MaxEff,-3376
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.27,MaxEff,-3662
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.311,MaxEff,-3828
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.363,MaxEff,-4264
