configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta54_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta54_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6373825091869,761,3309314,363952,3054,360896,-16041,259541713,0.136,minimize,0.0,65,65,2300,1846603194,1550,6867,-16041,2513668,1199.222,3052,745816,0.778671,0.0,3000,745816,MaxEff,0.94,800,0,3819,55.217,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta49_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta49_2a_alloc1_MaxEffGini.dzn,SATISFIED,1200.41871060431,,,,,,-10426,,,minimize,,,24,1830,,1230,5479,,,,2429,,0.647172,,2400,,MaxEff,,630,0,,,1200
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta77_7a_alloc1_MaxEffGini.dzn,SATISFIED,1201.4563602972776,2020,2204251,1398749,8096,1390651,-43567,241354461,0.385,minimize,0.0,122,122,6100,-989842981,4100,18215,-43567,1694371,1198.128,8095,262225,1.88565,0.0,8000,262225,MaxEff,3.16,2100,0,10110,943.261,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta38_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta38_2a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4993140194565,460,2908983,173589,1832,171755,-7647,498570502,0.083,minimize,0.0,24,24,1380,498899480,930,4126,-7647,1941389,1199.488,1831,956517,0.510765,0.0,1800,956517,MaxEff,0.63,480,0,2297,1189.196,900
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta64_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta64_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7682660389692,1017,2556836,351417,4038,347377,-18502,283675285,0.185,minimize,0.0,53,53,3050,921354508,2050,9107,-18502,1866197,1198.996,4037,636277,1.0051,0.0,4000,636277,MaxEff,1.41,1050,0,5044,208.251,2000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta77_5a_alloc1_MaxEffGini.dzn,SATISFIED,1201.3454671222717,2020,1715024,1395192,8094,1387096,-43497,215830163,0.384,minimize,0.0,157,157,6100,-1475242169,4100,18213,-43497,1120679,1198.133,8093,276248,1.8664,0.0,8000,276248,MaxEff,3.16,2100,0,10106,237.929,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta80_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta80_8a_alloc1_MaxEffGini.dzn,SATISFIED,1201.3434148151428,2018,1848069,1438312,8092,1430218,-42044,194565117,0.373,minimize,0.0,148,148,6100,586737620,4100,18211,-42044,1275623,1198.113,8091,272727,1.88594,0.0,8000,272727,MaxEff,3.16,2100,0,10102,244.39,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta52_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.440128242597,,,,,,-15141,,,minimize,,,39,2300,,1550,6862,,,,3047,,0.839115,,3000,,MaxEff,,800,0,,,1500
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta37_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta37_2a_alloc1_MaxEffGini.dzn,SATISFIED,1200.3995771650225,,,,,,-8284,,,minimize,,,26,1380,,930,4127,,,,1832,,0.530795,,1800,,MaxEff,,480,0,,,900
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta67_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta67_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7390415854752,1011,1612994,349766,4048,345716,-18895,301230187,0.182,minimize,0.0,40,40,3050,-2049018342,2050,9117,-18895,1073669,1199.003,4047,498197,0.997036,0.0,4000,498197,MaxEff,0.94,1050,0,5064,37.86,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta60_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6221637558192,765,2325741,336674,3055,333617,-15916,296563540,0.139,minimize,0.0,80,80,2300,-495552716,1550,6868,-15916,1631622,1199.24,3053,632733,0.759911,0.0,3000,632733,MaxEff,0.94,800,0,3821,323.355,1500
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta42_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta42_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.5600635446608,608,3175862,270958,2434,268522,-10712,554736673,0.111,minimize,0.0,19,19,1830,-777014535,1230,5482,-10712,2690118,1199.325,2432,474378,0.67352,0.0,2400,474378,MaxEff,0.94,630,0,3054,656.313,1200
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta71_6a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7122762110084,,,,,,-42146,,,minimize,,,192,6100,,4100,18210,,,,8090,,1.93778,,8000,,MaxEff,,2100,0,,,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta77_6a_alloc1_MaxEffGini.dzn,SATISFIED,1200.651559162885,,,,,,-43567,,,minimize,,,107,6100,,4100,18214,,,,8094,,1.96424,,8000,,MaxEff,,2100,0,,,4000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta71_10a_alloc1_MaxEffGini.dzn,SATISFIED,1201.3906819541007,2018,2890840,1523738,8096,1515640,-44233,178224635,0.38,minimize,0.0,149,149,6100,-1581941086,4100,18214,-44233,2183842,1198.137,8094,405050,1.86734,0.0,8000,405050,MaxEff,3.16,2100,0,10108,977.098,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta60_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6371548622847,766,2393184,326979,3054,323923,-15916,281723869,0.142,minimize,0.0,80,80,2300,-1998073067,1550,6868,-15916,1669606,1199.22,3053,662165,0.779659,0.0,3000,662165,MaxEff,0.94,800,0,3821,244.13,1500
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta50_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta50_2a_alloc1_MaxEffGini.dzn,SATISFIED,1200.5540098454803,602,3418908,285576,2434,283140,-9588,675158494,0.111,minimize,0.0,30,30,1830,-1014894829,1230,5482,-9588,3097113,1199.354,2432,305621,0.648559,0.0,2400,305621,MaxEff,0.63,630,0,3054,1058.753999,1200
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta72_6a_alloc1_MaxEffGini.dzn,SATISFIED,1201.435012999922,2018,2089860,1548935,8089,1540844,-44181,202939582,0.369,minimize,0.0,155,155,6100,-1835047791,4100,18207,-44181,1465255,1198.124,8087,310824,1.87496,0.0,8000,310824,MaxEff,3.16,2100,0,10094,449.224,4000
