configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta75_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_10a_alloc1_MinDis.dzn,SATISFIED,1201.1533357948065,9,8088,MinDis,0.383,1198.105,minimize,1.90161,4573438,22.347,9,378345,18210,378345,0.0,2.11,2100,6100,8000,210875,210875,4803788,1092277313,2018,10094,0,8087,4100,-1043011250,546273,4000,0.0,554363
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta58_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta58_3a_alloc1_MinDis.dzn,SATISFIED,1200.4558175355196,,,MinDis,,,minimize,0.767799,,,14,,6870,2741,,,800,2300,3000,,,,,,,0,3052,1550,,,1500,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta80_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta80_8a_alloc1_MinDis.dzn,SATISFIED,1201.1935226507485,33,8091,MinDis,0.377,1198.069,minimize,1.93794,2744636,692.606,33,69738,18213,69738,0.0,2.11,2100,6100,8000,128521,128521,2941008,581391464,2017,10100,0,8090,4100,-989853344,940834,4000,0.0,948927
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta64_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta64_4a_alloc1_MinDis.dzn,SATISFIED,1200.515792351216,,,MinDis,,,minimize,1.0783,,,13,,9110,40743,,,1050,3050,4000,,,,,,,0,4037,2050,,,2000,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta71_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_9a_alloc1_MinDis.dzn,SATISFIED,1201.1800236459821,40,8093,MinDis,0.383,1198.106,minimize,1.89253,2639867,1180.58,40,205105,18215,205105,0.0,2.11,2100,6100,8000,123807,123807,2845689,432251498,2019,10104,0,8092,4100,1836241125,956881,4000,0.0,964976
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta77_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_10a_alloc1_MinDis.dzn,SATISFIED,1201.1592446044087,33,8098,MinDis,0.379,1198.123,minimize,1.88517,2150864,221.8,33,2524277,18220,2524277,0.0,2.11,2100,6100,8000,96428,96428,2315217,676531355,2019,10114,0,8097,4100,375490550,842900,4000,0.0,851000
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta58_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta58_5a_alloc1_MinDis.dzn,SATISFIED,1200.6546637751162,42,3055,MinDis,0.142,1199.219,minimize,0.780401,6743534,343.173,42,28673,6872,28673,0.0,1.41,800,2300,3000,764092,764092,7558066,359381492,764,3823,0,3054,1550,237645648,351662,1500,0.0,354719
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta44_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta44_2a_alloc1_MinDis.dzn,SATISFIED,1200.578117646277,7,2430,MinDis,0.113,1199.39,minimize,0.610014,1852404,899.337,7,2304,5482,2304,0.0,0.94,630,1830,2400,620975,620975,2477958,435459634,612,3048,0,2429,1230,1772507023,259716,1200,0.0,262148
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta78_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_9a_alloc1_MinDis.dzn,SATISFIED,1200.6681099999696,,,MinDis,,,minimize,1.8513,,,84,,18212,703586,,,2100,6100,8000,,,,,,,0,8089,4100,,,4000,,
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta77_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_10a_alloc1_MinDis.dzn,SATISFIED,1200.6413365472108,,,MinDis,,,minimize,1.89547,,,68,,18220,1928777,,,2100,6100,8000,,,,,,,0,8097,4100,,,4000,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta63_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta63_5a_alloc1_MinDis.dzn,SATISFIED,1200.7687520403415,60,4051,MinDis,0.19,1198.983,minimize,1.01965,3271439,54.159,60,15627,9123,15627,0.0,0.94,1050,3050,4000,692630,692630,4025645,258664202,1015,5070,0,4050,2050,-733800683,343051,2000,0.0,347104
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_6a_alloc1_MinDis.dzn,SATISFIED,1201.3999338876456,148,8085,MinDis,0.386,1198.096,minimize,1.90457,2094617,1140.52,148,110614,18207,110614,0.0,3.16,2100,6100,8000,93165,93165,2487793,330716657,2020,10088,0,8084,4100,1060663791,1682451,4000,0.0,1690538
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta34_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta34_3a_alloc1_MinDis.dzn,SATISFIED,1200.538837166503,8,1833,MinDis,0.084,1199.513,minimize,0.488961,2156567,796.793,8,70856,4130,70856,0.0,0.94,480,1380,1800,931762,931762,3092302,401389790,463,2299,0,1832,930,34878677,215878,900,0.0,217713
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta49_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta49_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,253.72091878391802,6,2429,MinDis,0.111,252.532,minimize,0.649869,684365,252.464,6,0,5481,0,0.0,0.94,630,1830,2400,154722,154722,842691,119371729,610,3046,0,2428,1230,-1976240145,244427,1200,0.0,246858
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_7a_alloc1_MinDis.dzn,SATISFIED,1200.6608410496265,,,MinDis,,,minimize,1.84766,,,23,,18213,1501987,,,2100,6100,8000,,,,,,,0,8090,4100,,,4000,,
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta40_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta40_3a_alloc1_MinDis.dzn,UNKNOWN,1200.354026922956,,,MinDis,,,minimize,0.504918,,,0,,4126,,,,480,1380,1800,,,,,,,0,1828,930,,,900,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta70_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta70_5a_alloc1_MinDis.dzn,SATISFIED,1200.7719158474356,15,4045,MinDis,0.181,1199.076,minimize,0.923298,4477678,18.7,15,261238,9117,261238,0.0,0.94,1050,3050,4000,747671,747671,5241379,288114914,1013,5058,0,4044,2050,91397917,345868,2000,0.0,349915
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta62_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta62_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,1180.8552820254117,33,4048,MinDis,0.188,1179.122,minimize,1.01171,6940241,1179.063,33,0,9120,0,0.0,0.94,1050,3050,4000,329713,329713,7304297,749771272,1016,5064,0,4047,2050,1115384154,347060,2000,0.0,351110
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta78_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_10a_alloc1_MinDis.dzn,SATISFIED,1200.6600828245282,,,MinDis,,,minimize,1.88225,,,78,,18213,393379,,,2100,6100,8000,,,,,,,0,8090,4100,,,4000,,
